Time (s),Frame Length,Direction,Interarrival
0.0,74,1,0.0
9e-06,74,-1,9e-06
1.6e-05,66,1,6.999999999999999e-06
0.003832,32834,-1,0.003816
0.003839,66,1,7.000000000000062e-06
0.003848,32834,-1,8.999999999999894e-06
0.003935,66,1,8.700000000000027e-05
0.003987,32834,-1,5.199999999999996e-05
0.003995,32834,-1,8.000000000000194e-06
0.004044,66,1,4.8999999999999565e-05
0.004073,32834,-1,2.900000000000038e-05
0.004076,66,1,2.999999999999531e-06
0.00408,32834,-1,4.000000000000531e-06
0.004083,66,1,2.999999999999531e-06
0.004088,32834,-1,4.999999999999796e-06
0.004091,66,1,3.000000000000398e-06
0.004095,32834,-1,3.9999999999996635e-06
0.004101,32834,-1,5.999999999999929e-06
0.004103,66,1,2.0000000000002655e-06
0.004105,66,1,2.0000000000002655e-06
0.004107,32834,-1,2.0000000000002655e-06
0.004112,66,1,4.999999999999796e-06
0.004112,32834,-1,0.0
0.004116,66,1,3.9999999999996635e-06
0.004118,32834,-1,2.0000000000002655e-06
0.004121,66,1,2.999999999999531e-06
0.004125,32834,-1,4.000000000000531e-06
0.004129,66,1,3.9999999999996635e-06
0.004133,32834,-1,4.000000000000531e-06
0.004136,66,1,2.999999999999531e-06
0.00414,32834,-1,3.9999999999996635e-06
0.004143,66,1,3.000000000000398e-06
0.004148,32834,-1,4.999999999999796e-06
0.004154,32834,-1,5.999999999999929e-06
0.004157,66,1,3.000000000000398e-06
0.004158,66,1,1.0000000000001327e-06
0.004161,32834,-1,2.999999999999531e-06
0.004166,66,1,5.000000000000664e-06
0.004167,32834,-1,9.999999999992654e-07
0.00417,66,1,3.000000000000398e-06
0.004174,32834,-1,3.9999999999996635e-06
0.004177,66,1,3.000000000000398e-06
0.004181,32834,-1,3.9999999999996635e-06
0.004184,66,1,3.000000000000398e-06
0.004189,32834,-1,4.999999999999796e-06
0.004192,66,1,3.000000000000398e-06
0.004196,32834,-1,3.9999999999996635e-06
0.004203,32834,-1,7.000000000000062e-06
0.004209,32834,-1,5.999999999999929e-06
0.004216,32834,-1,7.000000000000062e-06
0.004222,32834,-1,5.999999999999929e-06
0.004228,32834,-1,5.999999999999929e-06
0.004256,65549,-1,2.8000000000000247e-05
0.004266,66,1,9.999999999999593e-06
0.004324,66,1,5.799999999999989e-05
0.960777,74,1,0.956453
0.960786,74,-1,9.000000000036756e-06
0.960793,66,1,6.999999999979245e-06
15.944934,32834,1,14.984141
15.944945,66,-1,1.100000000064938e-05
15.944954,32834,1,8.999999998593466e-06
15.945069,66,-1,0.00011500000000097543
15.94509,32834,1,2.1000000000270802e-05
15.945096,32834,1,5.999999999062311e-06
15.94518,66,-1,8.400000000108321e-05
15.945188,32834,1,7.999999999341867e-06
15.945192,32834,1,4.000000000559112e-06
15.945199,66,-1,7.000000000090267e-06
15.945203,32834,1,3.999999998782755e-06
15.945206,32834,1,3.0000000013075123e-06
