Time (s),Frame Length,Direction,Interarrival
0.0,74,1,0.0
9e-06,74,-1,9e-06
1.6e-05,66,1,6.999999999999999e-06
0.015726,32834,-1,0.015710000000000002
0.015734,66,1,8.000000000001062e-06
0.015744,32834,-1,9.999999999999593e-06
0.015841,66,1,9.699999999999986e-05
0.01589,32834,-1,4.900000000000043e-05
0.015896,32834,-1,5.999999999999062e-06
0.015953,66,1,5.6999999999998024e-05
0.015974,32834,-1,2.1000000000000185e-05
0.01598,32834,-1,6.000000000002531e-06
0.015982,66,1,1.9999999999985307e-06
0.015985,66,1,2.999999999999531e-06
0.016061,32834,-1,7.599999999999968e-05
0.016064,66,1,2.999999999999531e-06
0.016068,32834,-1,4.000000000000531e-06
0.016071,66,1,2.999999999999531e-06
0.016076,32834,-1,5.000000000001531e-06
0.016078,66,1,1.9999999999985307e-06
0.016082,32834,-1,4.000000000000531e-06
0.016085,66,1,2.999999999999531e-06
0.016088,32834,-1,3.0000000000030003e-06
0.016092,66,1,3.9999999999970615e-06
0.016096,32834,-1,4.000000000000531e-06
0.016099,66,1,2.999999999999531e-06
0.016103,32834,-1,4.000000000000531e-06
0.016105,66,1,2.000000000002e-06
0.016109,32834,-1,3.9999999999970615e-06
0.016112,66,1,3.0000000000030003e-06
0.016115,32834,-1,2.999999999999531e-06
0.016121,32834,-1,5.999999999999062e-06
0.016126,32834,-1,5.000000000001531e-06
0.016132,32834,-1,5.999999999999062e-06
0.016138,32834,-1,5.999999999999062e-06
0.016144,32834,-1,5.999999999999062e-06
0.016149,32834,-1,5.000000000001531e-06
0.016149,66,1,0.0
0.016154,66,1,5.000000000001531e-06
0.016155,66,1,9.999999999975306e-07
0.016157,66,1,2.000000000002e-06
0.016157,32834,-1,0.0
0.016158,66,1,9.999999999975306e-07
0.01616,66,1,2.000000000002e-06
0.016162,66,1,1.9999999999985307e-06
0.016162,32834,-1,0.0
0.016164,66,1,2.000000000002e-06
0.016168,32834,-1,3.9999999999970615e-06
0.016174,32834,-1,6.000000000002531e-06
0.01618,32834,-1,5.999999999999062e-06
0.016186,32834,-1,5.999999999999062e-06
0.016191,66,1,5.000000000001531e-06
0.016192,66,1,1.000000000001e-06
0.016192,32834,-1,0.0
0.016194,66,1,1.9999999999985307e-06
0.016195,66,1,1.000000000001e-06
0.016196,66,1,9.999999999975306e-07
0.016198,32834,-1,2.000000000002e-06
0.016205,32834,-1,7.000000000000062e-06
0.01621,32834,-1,4.9999999999980616e-06
0.016214,32834,-1,4.000000000000531e-06
0.016217,66,1,2.999999999999531e-06
0.016219,32834,-1,2.000000000002e-06
0.016219,66,1,0.0
0.016224,32834,-1,4.9999999999980616e-06
0.016228,32834,-1,4.000000000000531e-06
0.016232,66,1,4.000000000000531e-06
0.016233,32834,-1,1.000000000001e-06
0.016234,66,1,9.999999999975306e-07
0.016237,32834,-1,3.0000000000030003e-06
0.016241,32834,-1,3.9999999999970615e-06
