Time (s),Frame Length,Direction,Interarrival
0.0,74,1,0.0
9e-06,74,-1,9e-06
1.5e-05,66,1,6e-06
0.012224,32834,-1,0.012209000000000001
0.012236,66,1,1.1999999999999858e-05
0.012246,32834,-1,9.999999999999593e-06
0.012348,66,1,0.00010199999999999966
0.01239,32834,-1,4.200000000000037e-05
0.012396,32834,-1,6.000000000000796e-06
0.012458,66,1,6.199999999999956e-05
0.012489,32834,-1,3.099999999999978e-05
0.012496,32834,-1,7.000000000000062e-06
0.012577,66,1,8.099999999999948e-05
0.01259,32834,-1,1.3000000000000858e-05
0.012593,66,1,2.999999999999531e-06
0.012597,32834,-1,4.000000000000531e-06
0.0126,66,1,2.999999999999531e-06
0.012605,32834,-1,4.999999999999796e-06
0.01261,66,1,4.999999999999796e-06
0.012611,32834,-1,1.000000000001e-06
0.012613,66,1,1.9999999999985307e-06
0.012617,32834,-1,4.000000000000531e-06
0.012621,66,1,4.000000000000531e-06
0.012624,32834,-1,2.999999999999531e-06
0.01263,32834,-1,6.000000000000796e-06
0.012632,66,1,2.0000000000002655e-06
0.012633,66,1,9.999999999992654e-07
0.012635,32834,-1,2.0000000000002655e-06
0.01264,66,1,4.999999999999796e-06
0.012641,32834,-1,9.999999999992654e-07
0.012644,66,1,3.0000000000012655e-06
0.012648,32834,-1,3.999999999998796e-06
0.01265,66,1,2.0000000000002655e-06
0.012654,32834,-1,4.000000000000531e-06
0.012657,66,1,2.999999999999531e-06
0.012663,32834,-1,6.000000000000796e-06
0.012668,32834,-1,4.999999999999796e-06
0.012684,32834,-1,1.600000000000039e-05
0.012685,66,1,9.999999999992654e-07
0.012686,66,1,9.999999999992654e-07
0.012691,32834,-1,4.999999999999796e-06
0.012694,66,1,3.0000000000012655e-06
0.012695,66,1,9.999999999992654e-07
0.012697,32834,-1,2.0000000000002655e-06
0.012702,66,1,4.999999999999796e-06
0.012703,32834,-1,1.000000000001e-06
0.012707,66,1,3.999999999998796e-06
0.012711,32834,-1,4.000000000000531e-06
0.012714,66,1,2.999999999999531e-06
0.012718,32834,-1,4.000000000000531e-06
0.012721,66,1,2.999999999999531e-06
0.012725,32834,-1,4.000000000000531e-06
0.012727,66,1,2.0000000000002655e-06
0.012731,32834,-1,3.999999999998796e-06
0.012734,66,1,3.0000000000012655e-06
0.012738,32834,-1,3.999999999998796e-06
0.012741,66,1,3.0000000000012655e-06
0.012746,32834,-1,4.999999999999796e-06
0.012748,66,1,2.0000000000002655e-06
0.012752,32834,-1,3.999999999998796e-06
0.012757,32834,-1,4.999999999999796e-06
0.012763,32834,-1,6.000000000000796e-06
0.012767,32834,-1,4.000000000000531e-06
0.012772,32834,-1,4.999999999999796e-06
0.012776,32834,-1,3.999999999998796e-06
0.01278,32834,-1,4.000000000000531e-06
0.012787,32834,-1,7.000000000000062e-06
0.01279,66,1,2.999999999999531e-06
0.012791,32834,-1,1.000000000001e-06
