Time (s),Frame Length,Direction,Interarrival
0.0,68,0,0.0
2.8e-05,68,0,2.8e-05
0.183601,68,0,0.183573
0.18956,68,0,0.00595900000000002
3.425153,76,1,3.2355929999999997
3.425161,76,-1,8.000000000230045e-06
3.425168,68,1,7.000000000090267e-06
3.430296,32836,-1,0.005127999999999577
3.430304,68,1,8.000000000230045e-06
3.430313,32836,-1,8.999999999925734e-06
3.430417,68,1,0.00010399999999988196
3.430457,32836,-1,4.000000000026205e-05
3.430464,32836,-1,7.000000000090267e-06
3.430514,68,1,4.999999999988347e-05
3.430545,32836,-1,3.0999999999892225e-05
3.430552,32836,-1,7.000000000090267e-06
3.430636,68,1,8.399999999975094e-05
3.430645,32836,-1,9.000000000369823e-06
3.430649,32836,-1,3.9999999996709334e-06
3.430658,68,1,9.000000000369823e-06
3.430663,32836,-1,4.999999999810711e-06
3.430667,32836,-1,4.000000000115023e-06
3.43067,32836,-1,2.9999999999752447e-06
3.430672,32836,-1,1.9999999998354667e-06
3.430683,68,1,1.100000000020529e-05
3.430687,32836,-1,3.9999999996709334e-06
3.43069,32836,-1,2.9999999999752447e-06
3.430693,32836,-1,3.000000000419334e-06
3.430697,32836,-1,3.9999999996709334e-06
3.4307,32836,-1,2.9999999999752447e-06
3.430713,68,1,1.3000000000040757e-05
3.430716,32836,-1,2.9999999999752447e-06
3.43072,32836,-1,4.000000000115023e-06
3.430723,32836,-1,2.9999999999752447e-06
3.430731,68,1,8.000000000230045e-06
3.430735,32836,-1,3.9999999996709334e-06
3.430738,32836,-1,2.9999999999752447e-06
3.430744,68,1,5.999999999950489e-06
3.430748,32836,-1,4.000000000115023e-06
3.430751,32836,-1,2.9999999999752447e-06
3.430756,68,1,5.000000000254801e-06
3.43076,32836,-1,3.9999999996709334e-06
3.430763,32836,-1,2.9999999999752447e-06
3.430769,68,1,6.000000000394579e-06
3.430773,32836,-1,3.9999999996709334e-06
3.430776,32836,-1,2.9999999999752447e-06
3.430782,68,1,6.000000000394579e-06
3.430786,32836,-1,3.9999999996709334e-06
3.430789,32836,-1,2.9999999999752447e-06
3.430793,68,1,4.000000000115023e-06
3.430797,32836,-1,4.000000000115023e-06
3.4308,32836,-1,2.9999999999752447e-06
3.430805,68,1,4.999999999810711e-06
3.430808,32836,-1,2.9999999999752447e-06
3.43081,32836,-1,2.000000000279556e-06
3.430815,68,1,4.999999999810711e-06
3.430818,32836,-1,2.9999999999752447e-06
3.43082,68,1,2.000000000279556e-06
3.430824,32836,-1,3.9999999996709334e-06
3.430827,68,1,2.9999999999752447e-06
3.43083,32836,-1,2.9999999999752447e-06
3.430833,68,1,2.9999999999752447e-06
3.430836,32836,-1,3.000000000419334e-06
3.430839,68,1,2.9999999999752447e-06
3.430842,32836,-1,2.9999999999752447e-06
3.430845,68,1,2.9999999999752447e-06
3.430848,32836,-1,2.9999999999752447e-06
3.43085,68,1,1.9999999998354667e-06
3.430853,32836,-1,2.9999999999752447e-06
3.430971,68,1,0.0001180000000000625
3.43098,32836,-1,8.999999999925734e-06
3.430984,32836,-1,4.000000000115023e-06
3.430987,32836,-1,2.9999999999752447e-06
3.430991,32836,-1,4.000000000115023e-06
