Time (s),Frame Length,Direction,Interarrival
0.0,96,0,0.0
8e-06,96,0,8e-06
0.000109,160,0,0.000101
0.000162,208,0,5.3e-05
1.266043,96,0,1.265881
1.266051,96,0,8.000000000008e-06
1.266266,160,0,0.0002149999999998542
1.266331,208,0,6.500000000020378e-05
1.292239,74,1,0.02590799999999982
1.292249,74,-1,1.0000000000065512e-05
1.292257,66,1,8.000000000008e-06
1.300606,32834,-1,0.00834899999999994
1.300615,66,1,9.000000000147779e-06
1.300623,32834,-1,8.000000000008e-06
1.300766,66,1,0.00014300000000000423
1.300829,32834,-1,6.299999999992423e-05
1.300836,32834,-1,7.000000000090267e-06
1.300898,66,1,6.20000000000065e-05
1.300914,32834,-1,1.5999999999793957e-05
1.300917,66,1,3.0000000001972893e-06
1.300921,32834,-1,3.999999999892978e-06
1.300924,66,1,2.9999999999752447e-06
1.300929,32834,-1,5.000000000032756e-06
1.300934,32834,-1,5.000000000032756e-06
1.30094,32834,-1,5.999999999950489e-06
1.300949,32834,-1,8.999999999925734e-06
1.300954,32834,-1,5.000000000032756e-06
1.300954,66,1,0.0
1.300957,66,1,2.9999999999752447e-06
1.300959,66,1,2.0000000000575113e-06
1.30096,66,1,9.999999999177334e-07
1.30096,32834,-1,0.0
1.300962,66,1,2.0000000000575113e-06
1.300966,32834,-1,4.000000000115023e-06
1.300972,32834,-1,5.999999999950489e-06
1.300977,32834,-1,5.000000000032756e-06
1.300984,32834,-1,6.999999999868223e-06
1.30099,32834,-1,6.000000000172534e-06
1.300996,32834,-1,5.999999999950489e-06
1.301002,32834,-1,5.999999999950489e-06
1.301007,32834,-1,5.000000000032756e-06
1.301012,32834,-1,5.000000000032756e-06
1.301018,32834,-1,5.999999999950489e-06
1.301019,66,1,9.999999999177334e-07
1.30102,66,1,1.000000000139778e-06
1.301022,66,1,1.9999999998354667e-06
1.301023,66,1,1.000000000139778e-06
1.301024,32834,-1,9.999999999177334e-07
1.301024,66,1,0.0
1.301026,66,1,2.0000000000575113e-06
1.301028,66,1,2.0000000000575113e-06
1.301029,66,1,9.999999999177334e-07
1.30103,32834,-1,9.999999999177334e-07
1.30103,66,1,0.0
1.301036,32834,-1,6.000000000172534e-06
1.301041,32834,-1,4.999999999810711e-06
1.301048,32834,-1,7.000000000090267e-06
1.301053,32834,-1,5.000000000032756e-06
1.301059,32834,-1,5.999999999950489e-06
1.301063,32834,-1,4.000000000115023e-06
1.301067,32834,-1,3.999999999892978e-06
1.301165,66,1,9.799999999993148e-05
1.301232,32834,-1,6.700000000003925e-05
1.301236,32834,-1,4.000000000115023e-06
1.30124,32834,-1,3.999999999892978e-06
1.301244,32834,-1,4.000000000115023e-06
1.301248,32834,-1,3.999999999892978e-06
1.301252,32834,-1,4.000000000115023e-06
1.301383,66,1,0.0001309999999998812
1.301396,32834,-1,1.3000000000040757e-05
1.301399,32834,-1,2.9999999999752447e-06
1.301402,32834,-1,2.9999999999752447e-06
1.301404,32834,-1,2.0000000000575113e-06
1.301406,32834,-1,2.0000000000575113e-06
1.301408,32834,-1,1.9999999998354667e-06
1.30141,32834,-1,2.0000000000575113e-06
1.301412,32834,-1,2.0000000000575113e-06
1.301414,32834,-1,2.0000000000575113e-06
1.301416,32834,-1,1.9999999998354667e-06
1.301418,32834,-1,2.0000000000575113e-06
1.30142,32834,-1,2.0000000000575113e-06
1.301423,32834,-1,2.9999999999752447e-06
1.301426,65549,-1,2.9999999999752447e-06
1.30143,65549,-1,4.000000000115023e-06
1.301822,66,1,0.00039199999999994795
1.301833,65549,-1,1.0999999999983245e-05
1.301837,65549,-1,3.999999999892978e-06
1.301841,65549,-1,4.000000000115023e-06
1.301846,65549,-1,5.000000000032756e-06
1.301849,65549,-1,2.9999999999752447e-06
1.301853,65549,-1,3.999999999892978e-06
1.301857,65549,-1,4.000000000115023e-06
1.301861,65549,-1,3.999999999892978e-06
1.301864,65549,-1,2.9999999999752447e-06
1.30188,65549,-1,1.6000000000016e-05
1.301884,65549,-1,4.000000000115023e-06
1.301888,65549,-1,3.999999999892978e-06
1.301892,65549,-1,4.000000000115023e-06
1.301896,65549,-1,3.999999999892978e-06
1.3019,65549,-1,4.000000000115023e-06
1.301905,65549,-1,5.000000000032756e-06
1.301909,65549,-1,3.999999999892978e-06
1.301913,65549,-1,4.000000000115023e-06
1.301917,65549,-1,3.999999999892978e-06
1.301921,65549,-1,4.000000000115023e-06
1.301922,14700,-1,9.999999999177334e-07
1.302009,66,1,8.699999999994823e-05
1.302011,66,1,2.0000000000575113e-06
1.303888,66,1,0.0018769999999999065
2.746688,96,0,1.4427999999999999
2.746697,96,0,9.000000000369823e-06
2.746898,160,0,0.00020099999999967366
2.746951,208,0,5.3000000000302805e-05
2.76481,32834,1,0.01785900000000007
2.764822,66,-1,1.1999999999900979e-05
2.764832,32834,1,1.0000000000065512e-05
2.764965,66,-1,0.00013299999999993872
2.764976,32834,1,1.09999999997612e-05
2.764983,32834,1,7.000000000090267e-06
2.764996,66,-1,1.3000000000040757e-05
2.764998,66,-1,1.9999999998354667e-06
2.765065,32834,1,6.700000000003925e-05
2.765068,66,-1,2.9999999999752447e-06
2.765073,32834,1,5.000000000254801e-06
2.765076,66,-1,2.9999999999752447e-06
2.76508,32834,1,4.000000000115023e-06
2.765083,66,-1,2.9999999999752447e-06
2.765087,32834,1,3.9999999996709334e-06
2.76509,66,-1,2.9999999999752447e-06
2.765093,32834,1,2.9999999999752447e-06
2.765096,66,-1,3.000000000419334e-06
2.7651,32834,1,3.9999999996709334e-06
2.765103,66,-1,2.9999999999752447e-06
2.765107,32834,1,4.000000000115023e-06
2.76511,66,-1,2.9999999999752447e-06
2.765113,32834,1,2.9999999999752447e-06
2.765116,66,-1,2.9999999999752447e-06
2.765119,32834,1,2.9999999999752447e-06
2.765125,32834,1,5.999999999950489e-06
2.76513,32834,1,5.000000000254801e-06
2.765135,32834,1,4.999999999810711e-06
2.76514,32834,1,5.000000000254801e-06
2.765145,32834,1,4.999999999810711e-06
2.765151,32834,1,5.999999999950489e-06
2.765157,32834,1,5.999999999950489e-06
2.765162,32834,1,5.000000000254801e-06
2.765168,32834,1,5.999999999950489e-06
2.765173,32834,1,4.999999999810711e-06
2.765178,32834,1,5.000000000254801e-06
2.765183,32834,1,4.999999999810711e-06
2.765216,66,-1,3.300000000017178e-05
2.76522,66,-1,3.9999999996709334e-06
2.765222,66,-1,2.000000000279556e-06
2.765223,66,-1,1.000000000139778e-06
2.765224,66,-1,9.999999996956888e-07
2.765225,66,-1,1.000000000139778e-06
2.765227,66,-1,1.9999999998354667e-06
2.765229,66,-1,2.000000000279556e-06
2.76523,66,-1,9.999999996956888e-07
2.765231,66,-1,1.000000000139778e-06
2.765233,66,-1,1.9999999998354667e-06
2.765234,66,-1,1.000000000139778e-06
2.765338,32834,1,0.00010399999999988196
2.765344,32834,1,5.999999999950489e-06
2.765349,32834,1,5.000000000254801e-06
2.765355,32834,1,5.999999999950489e-06
2.765359,32834,1,4.000000000115023e-06
2.765363,32834,1,3.9999999996709334e-06
2.765367,32834,1,4.000000000115023e-06
2.765371,32834,1,4.000000000115023e-06
2.765374,32834,1,2.9999999999752447e-06
2.765377,66,-1,2.9999999999752447e-06
2.765378,32834,1,1.000000000139778e-06
2.765379,66,-1,9.999999996956888e-07
2.765382,32834,1,2.9999999999752447e-06
2.765386,32834,1,4.000000000115023e-06
2.765389,32834,1,2.9999999999752447e-06
2.765394,32834,1,5.000000000254801e-06
2.765398,32834,1,3.9999999996709334e-06
2.765402,32834,1,4.000000000115023e-06
2.765406,32834,1,4.000000000115023e-06
2.76541,32834,1,4.000000000115023e-06
2.765414,32834,1,3.9999999996709334e-06
2.765418,32834,1,4.000000000115023e-06
2.765421,32834,1,2.9999999999752447e-06
2.765425,32834,1,4.000000000115023e-06
2.765431,65549,1,5.999999999950489e-06
2.765438,65549,1,7.000000000090267e-06
2.765481,66,-1,4.2999999999793204e-05
2.765584,65549,1,0.00010300000000018628
2.76559,65549,1,5.999999999950489e-06
2.765597,65549,1,7.000000000090267e-06
2.765603,65549,1,5.999999999950489e-06
2.765609,65549,1,5.999999999950489e-06
2.765616,65549,1,7.000000000090267e-06
2.765764,66,-1,0.00014799999999981495
2.765838,65549,1,7.400000000012952e-05
2.765845,65549,1,7.000000000090267e-06
2.765851,65549,1,5.999999999950489e-06
2.765858,65549,1,7.000000000090267e-06
2.765864,65549,1,5.999999999950489e-06
2.76587,65549,1,5.999999999950489e-06
2.765876,65549,1,5.999999999950489e-06
2.765883,65549,1,7.000000000090267e-06
2.76589,65549,1,7.000000000090267e-06
2.765896,65549,1,5.999999999950489e-06
2.765903,65549,1,6.999999999646178e-06
2.765909,65549,1,6.000000000394579e-06
2.765929,66,-1,1.9999999999686935e-05
2.76598,65549,1,5.100000000002325e-05
2.765986,65549,1,5.999999999950489e-06
2.765993,65549,1,7.000000000090267e-06
2.766,65549,1,7.000000000090267e-06
2.766342,66,-1,0.00034199999999984243
2.766354,65549,1,1.2000000000345068e-05
2.766359,65549,1,4.999999999810711e-06
2.766363,65549,1,4.000000000115023e-06
2.766369,65549,1,5.999999999950489e-06
2.766373,65549,1,4.000000000115023e-06
2.766377,65549,1,3.9999999996709334e-06
2.766381,65549,1,4.000000000115023e-06
2.766386,65549,1,4.999999999810711e-06
2.76639,65549,1,4.000000000115023e-06
2.766394,65549,1,4.000000000115023e-06
2.766411,65549,1,1.700000000015578e-05
