Time (s),Frame Length,Direction,Interarrival
0.0,96,0,0.0
7e-06,96,0,7e-06
0.000171,160,0,0.000164
0.000216,208,0,4.499999999999998e-05
0.705688,96,0,0.705472
0.705696,96,0,8.000000000008e-06
0.70585,160,0,0.00015399999999998748
0.705882,208,0,3.2000000000032e-05
0.723607,74,1,0.01772499999999999
0.723616,74,-1,9.000000000036756e-06
0.723623,66,1,6.999999999979245e-06
0.725699,32834,-1,0.0020759999999999668
0.725708,66,1,9.000000000036756e-06
0.725718,32834,-1,9.99999999995449e-06
0.725834,66,1,0.00011600000000000499
0.725845,32834,-1,1.0999999999983245e-05
0.725848,32834,-1,3.000000000086267e-06
0.725865,66,1,1.6999999999933735e-05
0.725869,32834,-1,4.000000000004e-06
0.725872,32834,-1,2.9999999999752447e-06
0.725921,66,1,4.900000000007676e-05
0.725923,8665,-1,1.999999999946489e-06
0.725925,66,1,2.0000000000575113e-06
1.630131,96,0,0.904206
1.63014,96,0,8.999999999925734e-06
1.630289,160,0,0.00014900000000017677
1.63032,208,0,3.0999999999892225e-05
1.652676,74,1,0.022356000000000043
1.652684,74,-1,8.000000000008e-06
1.652691,66,1,6.999999999868223e-06
1.71764,32834,1,0.06494900000000015
1.717649,66,-1,8.999999999925734e-06
1.717659,32834,1,1.0000000000065512e-05
1.7178,66,-1,0.00014099999999994672
1.717862,32834,1,6.20000000000065e-05
1.717869,32834,1,7.000000000090267e-06
1.717959,66,-1,8.999999999992347e-05
1.717971,32834,1,1.1999999999900979e-05
1.717976,32834,1,5.000000000032756e-06
1.717984,66,-1,8.000000000008e-06
1.717993,32834,1,9.000000000147779e-06
1.717997,32834,1,3.999999999892978e-06
1.718001,32834,1,3.999999999892978e-06
1.718005,32834,1,4.000000000115023e-06
1.718019,66,-1,1.399999999995849e-05
1.718024,32834,1,5.000000000032756e-06
1.718028,32834,1,4.000000000115023e-06
1.718031,32834,1,2.9999999999752447e-06
1.718035,32834,1,3.999999999892978e-06
1.718039,32834,1,4.000000000115023e-06
1.718056,66,-1,1.6999999999933735e-05
1.718061,32834,1,5.000000000032756e-06
1.718064,32834,1,2.9999999999752447e-06
1.718067,32834,1,2.9999999999752447e-06
1.718077,66,-1,1.0000000000065512e-05
1.718082,32834,1,5.000000000032756e-06
1.718087,32834,1,4.999999999810711e-06
1.718094,66,-1,7.000000000090267e-06
1.718098,32834,1,3.999999999892978e-06
1.718102,32834,1,4.000000000115023e-06
1.71811,66,-1,8.000000000008e-06
1.718115,32834,1,5.000000000032756e-06
1.718118,32834,1,2.9999999999752447e-06
1.718126,66,-1,8.000000000008e-06
1.71813,32834,1,3.999999999892978e-06
1.718134,32834,1,4.000000000115023e-06
1.718141,66,-1,6.999999999868223e-06
1.718146,32834,1,5.000000000032756e-06
1.71815,32834,1,4.000000000115023e-06
1.718156,66,-1,5.999999999950489e-06
1.71816,32834,1,3.999999999892978e-06
1.718163,32834,1,3.0000000001972893e-06
1.71817,66,-1,6.999999999868223e-06
1.718174,32834,1,4.000000000115023e-06
1.718177,32834,1,2.9999999999752447e-06
1.718182,66,-1,5.000000000032756e-06
1.718187,32834,1,4.999999999810711e-06
1.718191,66,-1,4.000000000115023e-06
1.718195,32834,1,3.999999999892978e-06
1.718198,66,-1,2.9999999999752447e-06
1.718202,32834,1,4.000000000115023e-06
1.718483,66,-1,0.0002809999999999757
1.718495,32834,1,1.2000000000123023e-05
1.718499,32834,1,3.999999999892978e-06
1.718502,32834,1,2.9999999999752447e-06
1.718506,32834,1,4.000000000115023e-06
1.718511,32834,1,4.999999999810711e-06
1.718529,32834,1,1.8000000000073513e-05
1.718532,32834,1,2.9999999999752447e-06
1.718537,32834,1,5.000000000032756e-06
1.718541,32834,1,4.000000000115023e-06
1.718545,32834,1,3.999999999892978e-06
1.71855,32834,1,5.000000000032756e-06
1.718555,32834,1,5.000000000032756e-06
1.718561,32834,1,5.999999999950489e-06
1.718566,32834,1,5.000000000032756e-06
1.718569,11812,1,2.9999999999752447e-06
1.718602,66,-1,3.2999999999949736e-05
1.718605,66,-1,2.9999999999752447e-06
1.718607,66,-1,2.0000000000575113e-06
1.718608,66,-1,9.999999999177334e-07
1.71861,66,-1,2.0000000000575113e-06
1.718611,66,-1,1.000000000139778e-06
1.718613,66,-1,1.9999999998354667e-06
1.718614,66,-1,1.000000000139778e-06
1.719117,66,-1,0.0005029999999999202
1.721446,66,-1,0.0023290000000000255
1.721453,66,1,6.999999999868223e-06
1.722168,32834,-1,0.0007150000000000212
1.722174,66,1,6.000000000172534e-06
1.722183,32834,-1,8.999999999925734e-06
1.722316,66,1,0.00013299999999993872
1.722322,32834,-1,5.999999999950489e-06
1.722324,32834,-1,2.0000000000575113e-06
1.72234,66,1,1.6000000000016e-05
1.722343,32834,-1,2.9999999999752447e-06
1.722346,32834,-1,2.9999999999752447e-06
1.72235,66,1,4.000000000115023e-06
1.722352,8665,-1,2.0000000000575113e-06
1.722354,66,1,1.9999999998354667e-06
