Time (s),Frame Length,Direction,Interarrival
0.0,96,0,0.0
1e-05,96,0,1e-05
0.000253,160,0,0.00024300000000000002
0.000297,208,0,4.3999999999999985e-05
0.426896,96,0,0.426599
0.426907,96,0,1.0999999999983245e-05
0.427072,160,0,0.00016500000000002624
0.427141,208,0,6.899999999998574e-05
0.669423,74,1,0.242282
0.669431,74,-1,8.000000000008e-06
0.669437,66,1,5.999999999950489e-06
0.672984,32834,-1,0.003547000000000078
0.672993,66,1,8.999999999925734e-06
0.673003,32834,-1,1.0000000000065512e-05
0.673063,66,1,5.999999999994898e-05
0.673078,32834,-1,1.4999999999987246e-05
0.673085,32834,-1,7.000000000090267e-06
0.673094,66,1,8.999999999925734e-06
0.673097,66,1,2.9999999999752447e-06
0.673164,32834,-1,6.700000000003925e-05
0.673167,66,1,2.9999999999752447e-06
0.673173,32834,-1,6.000000000061512e-06
0.673179,32834,-1,5.999999999950489e-06
0.673187,32834,-1,8.000000000008e-06
0.673187,66,1,0.0
0.67319,66,1,2.9999999999752447e-06
0.673193,66,1,3.000000000086267e-06
0.673194,32834,-1,9.999999999177334e-07
0.673203,32834,-1,9.000000000036756e-06
0.67325,66,1,4.700000000001925e-05
0.673251,66,1,1.0000000000287557e-06
0.673216,32834,-1,-3.500000000000725e-05
0.673221,32834,-1,4.999999999921734e-06
0.673226,32834,-1,5.000000000032756e-06
0.67323,32834,-1,4.000000000004e-06
0.673234,32834,-1,4.000000000004e-06
0.673239,32834,-1,5.000000000032756e-06
0.673243,32834,-1,4.000000000004e-06
0.673247,32834,-1,4.000000000004e-06
0.673288,32834,-1,4.099999999995774e-05
0.673288,66,1,0.0
0.673291,66,1,2.9999999999752447e-06
0.673293,66,1,2.0000000000575113e-06
0.673296,32834,-1,2.9999999999752447e-06
0.673296,66,1,0.0
0.673299,66,1,2.9999999999752447e-06
0.673301,66,1,2.0000000000575113e-06
0.673303,32834,-1,1.999999999946489e-06
0.673303,66,1,0.0
0.673306,66,1,2.9999999999752447e-06
0.673309,66,1,3.000000000086267e-06
0.673314,32834,-1,4.999999999921734e-06
0.673323,32834,-1,9.000000000036756e-06
0.67333,32834,-1,6.999999999979245e-06
0.673336,32834,-1,6.000000000061512e-06
0.673344,32834,-1,8.000000000008e-06
0.673351,32834,-1,6.999999999979245e-06
0.673361,32834,-1,9.99999999995449e-06
0.673368,32834,-1,6.999999999979245e-06
0.673375,32834,-1,6.999999999979245e-06
0.673447,66,1,7.2000000000072e-05
0.673449,66,1,1.999999999946489e-06
0.673451,66,1,2.0000000000575113e-06
0.673532,66,1,8.099999999999774e-05
0.673536,28237,-1,4.000000000004e-06
0.67354,66,1,4.000000000004e-06
1.104143,96,0,0.43060300000000007
1.104151,96,0,8.000000000008e-06
1.104301,160,0,0.00014999999999987246
1.104348,208,0,4.700000000013027e-05
1.329657,74,1,0.22530899999999998
1.329665,74,-1,8.000000000008e-06
1.329672,66,1,6.999999999868223e-06
1.929604,32834,1,0.5999320000000001
1.929615,66,-1,1.0999999999983245e-05
1.929626,32834,1,1.0999999999983245e-05
1.92975,66,-1,0.000124000000000013
1.929767,32834,1,1.6999999999933735e-05
1.929774,32834,1,7.000000000090267e-06
1.929784,66,-1,9.999999999843467e-06
1.929786,66,-1,2.0000000000575113e-06
1.929852,32834,1,6.599999999989947e-05
1.929855,66,-1,3.0000000001972893e-06
1.929859,32834,1,3.999999999892978e-06
1.929864,32834,1,5.000000000032756e-06
1.929868,66,-1,3.999999999892978e-06
1.92987,66,-1,2.0000000000575113e-06
1.929871,32834,1,9.999999999177334e-07
1.929876,32834,1,5.000000000032756e-06
1.929883,32834,1,7.000000000090267e-06
1.929889,32834,1,5.999999999950489e-06
1.929891,66,-1,2.0000000000575113e-06
1.929892,66,-1,9.999999999177334e-07
1.929894,66,-1,2.0000000000575113e-06
1.929895,32834,1,9.999999999177334e-07
1.929896,66,-1,1.000000000139778e-06
1.929901,32834,1,5.000000000032756e-06
1.929906,32834,1,4.999999999810711e-06
1.929911,32834,1,5.000000000032756e-06
1.929916,32834,1,5.000000000032756e-06
1.929921,32834,1,5.000000000032756e-06
1.929928,32834,1,7.000000000090267e-06
1.929933,32834,1,4.999999999810711e-06
1.929938,32834,1,5.000000000032756e-06
1.929941,66,-1,2.9999999999752447e-06
1.929943,66,-1,2.0000000000575113e-06
1.929944,32834,1,1.000000000139778e-06
1.929944,66,-1,0.0
1.929945,66,-1,9.999999999177334e-07
1.929947,66,-1,2.0000000000575113e-06
1.929949,66,-1,1.9999999998354667e-06
1.92995,32834,1,1.000000000139778e-06
1.92995,66,-1,0.0
1.929951,66,-1,9.999999999177334e-07
1.929956,32834,1,5.000000000032756e-06
1.929962,32834,1,5.999999999950489e-06
1.929966,32834,1,4.000000000115023e-06
1.929973,32834,1,6.999999999868223e-06
1.929979,32834,1,5.999999999950489e-06
1.929984,32834,1,5.000000000032756e-06
1.929988,32834,1,4.000000000115023e-06
1.929993,32834,1,5.000000000032756e-06
1.929997,32834,1,3.999999999892978e-06
1.930001,32834,1,4.000000000115023e-06
1.930005,32834,1,3.999999999892978e-06
1.930009,32834,1,4.000000000115023e-06
1.930012,32834,1,2.9999999999752447e-06
1.930064,66,-1,5.199999999994098e-05
1.930164,32834,1,9.999999999998899e-05
1.930168,32834,1,4.000000000115023e-06
1.930172,32834,1,3.999999999892978e-06
1.930176,32834,1,3.999999999892978e-06
1.93018,32834,1,4.000000000115023e-06
1.930183,32834,1,2.9999999999752447e-06
1.930243,66,-1,5.999999999994898e-05
1.930244,66,-1,1.000000000139778e-06
1.930245,66,-1,9.999999999177334e-07
1.930304,66,-1,5.900000000003125e-05
1.930338,65549,1,3.4000000000089514e-05
1.930342,66,-1,3.999999999892978e-06
1.930346,65549,1,3.999999999892978e-06
1.930353,65549,1,7.000000000090267e-06
1.93036,65549,1,7.000000000090267e-06
1.930366,65549,1,5.999999999950489e-06
1.930374,65549,1,8.000000000008e-06
1.930381,65549,1,6.999999999868223e-06
1.930389,65549,1,8.000000000008e-06
1.930396,65549,1,7.000000000090267e-06
1.930402,65549,1,5.999999999950489e-06
1.93041,65549,1,8.000000000008e-06
1.930441,65549,1,3.100000000011427e-05
1.931215,66,-1,0.0007739999999998304
1.931352,65549,1,0.00013700000000005375
1.931373,65549,1,2.1000000000048757e-05
1.931392,65549,1,1.8999999999991246e-05
1.931405,65549,1,1.3000000000040757e-05
1.931432,65549,1,2.6999999999999247e-05
1.931447,65549,1,1.4999999999876223e-05
1.931464,65549,1,1.700000000015578e-05
1.931478,65549,1,1.399999999995849e-05
1.931494,65549,1,1.6000000000016e-05
1.931509,65549,1,1.4999999999876223e-05
1.931525,65549,1,1.6000000000016e-05
1.93334,66,-1,0.001815000000000122
1.933531,65549,1,0.00019100000000005224
1.933544,65549,1,1.2999999999818712e-05
1.933563,65549,1,1.8999999999991246e-05
1.933575,65549,1,1.2000000000123023e-05
1.9336,65549,1,2.4999999999941735e-05
1.933611,65549,1,1.0999999999983245e-05
1.936177,66,-1,0.0025660000000000682
1.936355,65549,1,0.00017800000000001148
1.936367,65549,1,1.1999999999900979e-05
1.936382,65549,1,1.5000000000098268e-05
1.936394,65549,1,1.1999999999900979e-05
1.936405,65549,1,1.0999999999983245e-05
1.936431,65549,1,2.6000000000081513e-05
1.939843,66,-1,0.0034119999999999706
1.940015,65549,1,0.000172000000000061
1.940026,65549,1,1.0999999999983245e-05
1.94004,65549,1,1.399999999995849e-05
1.940054,65549,1,1.399999999995849e-05
1.940065,65549,1,1.0999999999983245e-05
1.94009,65549,1,2.500000000016378e-05
1.944112,66,-1,0.00402199999999997
1.944275,65549,1,0.00016299999999991321
1.944287,65549,1,1.2000000000123023e-05
1.9443,65549,1,1.2999999999818712e-05
1.944312,65549,1,1.2000000000123023e-05
1.944325,65549,1,1.3000000000040757e-05
1.944339,65549,1,1.399999999995849e-05
1.944352,65549,1,1.3000000000040757e-05
1.949196,66,-1,0.004843999999999848
1.949397,65549,1,0.00020100000000011775
1.94941,65549,1,1.3000000000040757e-05
