Time (s),Frame Length,Direction,Interarrival
0.0,74,1,0.0
1.1e-05,74,-1,1.1e-05
1.8e-05,66,1,7.000000000000001e-06
0.012228,32834,-1,0.012209999999999999
0.012239,66,1,1.1000000000000593e-05
0.012249,32834,-1,9.999999999999593e-06
0.01235,66,1,0.0001010000000000004
0.012394,32834,-1,4.4000000000000636e-05
0.012401,32834,-1,7.000000000000062e-06
0.012453,66,1,5.199999999999996e-05
0.01248,32834,-1,2.6999999999999247e-05
0.012487,32834,-1,7.000000000000062e-06
0.012497,66,1,9.999999999999593e-06
0.012566,32834,-1,6.900000000000135e-05
0.012569,66,1,2.999999999999531e-06
0.012573,32834,-1,4.000000000000531e-06
0.012576,66,1,2.999999999999531e-06
0.012582,32834,-1,5.999999999999062e-06
0.012585,66,1,3.0000000000012655e-06
0.012588,32834,-1,2.999999999999531e-06
0.012591,66,1,2.999999999999531e-06
0.012595,32834,-1,4.000000000000531e-06
0.012598,66,1,2.999999999999531e-06
0.012602,32834,-1,4.000000000000531e-06
0.012604,66,1,2.0000000000002655e-06
0.012608,32834,-1,3.999999999998796e-06
0.01261,66,1,2.0000000000002655e-06
0.012613,32834,-1,2.999999999999531e-06
0.012619,32834,-1,6.000000000000796e-06
0.012624,32834,-1,4.999999999999796e-06
0.01263,32834,-1,6.000000000000796e-06
0.012638,32834,-1,7.999999999999327e-06
0.012637,66,1,-9.999999999992654e-07
0.012642,66,1,4.999999999999796e-06
0.012644,66,1,2.0000000000002655e-06
0.012644,32834,-1,0.0
0.012645,66,1,9.999999999992654e-07
0.012646,66,1,9.999999999992654e-07
0.01265,32834,-1,4.000000000000531e-06
0.012656,32834,-1,6.000000000000796e-06
0.012662,32834,-1,5.999999999999062e-06
0.012662,66,1,0.0
0.012663,66,1,1.000000000001e-06
0.012664,66,1,9.999999999992654e-07
0.012666,66,1,2.0000000000002655e-06
0.012667,32834,-1,9.999999999992654e-07
0.012673,32834,-1,6.000000000000796e-06
0.012678,66,1,4.999999999999796e-06
0.012679,32834,-1,9.999999999992654e-07
0.012679,66,1,0.0
0.012685,32834,-1,6.000000000000796e-06
0.012686,66,1,9.999999999992654e-07
0.01269,66,1,4.000000000000531e-06
0.012691,32834,-1,9.999999999992654e-07
0.012695,66,1,4.000000000000531e-06
0.012697,32834,-1,2.0000000000002655e-06
0.0127,66,1,2.999999999999531e-06
0.012708,32834,-1,8.000000000001062e-06
