Time (s),Frame Length,Direction,Interarrival
0.0,96,0,0.0
1e-05,96,0,1e-05
0.000209,160,0,0.000199
0.000241,208,0,3.199999999999999e-05
0.731779,96,0,0.7315379999999999
0.731788,96,0,9.000000000036756e-06
0.73195,160,0,0.00016199999999999548
0.731994,208,0,4.4000000000044004e-05
0.748221,74,1,0.01622699999999999
0.748229,74,-1,8.000000000008e-06
0.748236,66,1,6.999999999979245e-06
0.749781,32834,-1,0.0015450000000000186
0.749789,66,1,8.000000000008e-06
0.749797,32834,-1,8.000000000008e-06
0.749912,66,1,0.00011499999999997623
0.749919,32834,-1,6.999999999979245e-06
0.749922,32834,-1,2.9999999999752447e-06
0.749938,66,1,1.6000000000016e-05
0.749942,32834,-1,4.000000000004e-06
0.749945,32834,-1,2.9999999999752447e-06
0.749998,66,1,5.300000000008076e-05
0.75,8685,-1,1.999999999946489e-06
0.750003,66,1,2.9999999999752447e-06
0.930199,86,0,0.18019600000000002
0.930224,86,0,2.5000000000052758e-05
0.933871,197,0,0.003646999999999956
0.936872,165,0,0.0030010000000000314
1.767677,32834,1,0.8308049999999999
1.767691,66,-1,1.399999999995849e-05
1.767701,32834,1,1.0000000000065512e-05
1.767811,66,-1,0.0001100000000000545
1.767841,32834,1,2.999999999997449e-05
1.767852,32834,1,1.0999999999983245e-05
1.767915,66,-1,6.299999999992423e-05
1.767945,32834,1,3.0000000000196536e-05
1.767948,66,-1,2.9999999999752447e-06
1.767953,32834,1,5.000000000032756e-06
1.767956,66,-1,2.9999999999752447e-06
1.767961,32834,1,4.999999999810711e-06
1.767966,66,-1,5.000000000032756e-06
1.767967,32834,1,1.000000000139778e-06
1.767971,66,-1,3.999999999892978e-06
1.767972,32834,1,1.000000000139778e-06
1.767976,66,-1,3.999999999892978e-06
1.767979,32834,1,2.9999999999752447e-06
1.767982,66,-1,2.9999999999752447e-06
1.767987,32834,1,5.000000000032756e-06
1.76799,66,-1,2.9999999999752447e-06
1.767994,32834,1,4.000000000115023e-06
1.767997,66,-1,2.9999999999752447e-06
1.768,32834,1,2.9999999999752447e-06
1.768003,66,-1,2.9999999999752447e-06
1.768006,32834,1,2.9999999999752447e-06
1.768009,66,-1,2.9999999999752447e-06
1.768013,32834,1,4.000000000115023e-06
1.768015,66,-1,1.9999999998354667e-06
1.768022,32834,1,7.000000000090267e-06
1.768025,66,-1,2.9999999999752447e-06
1.768028,32834,1,2.9999999999752447e-06
1.768031,66,-1,2.9999999999752447e-06
1.768035,32834,1,4.000000000115023e-06
1.768038,66,-1,2.9999999999752447e-06
1.768042,32834,1,3.999999999892978e-06
1.768045,66,-1,3.0000000001972893e-06
1.768048,32834,1,2.9999999999752447e-06
1.768051,66,-1,2.9999999999752447e-06
1.768054,32834,1,2.9999999999752447e-06
1.768057,66,-1,2.9999999999752447e-06
1.768061,32834,1,4.000000000115023e-06
1.768066,32834,1,4.999999999810711e-06
1.768071,32834,1,5.000000000032756e-06
1.768077,32834,1,5.999999999950489e-06
1.768083,32834,1,6.000000000172534e-06
1.768088,32834,1,5.000000000032756e-06
1.768093,32834,1,4.999999999810711e-06
1.768099,32834,1,6.000000000172534e-06
1.768103,32834,1,3.999999999892978e-06
1.768111,32834,1,8.000000000008e-06
1.768115,32834,1,4.000000000115023e-06
1.768118,32834,1,2.9999999999752447e-06
1.768122,32834,1,3.999999999892978e-06
1.768128,32834,1,5.999999999950489e-06
1.768169,66,-1,4.100000000017978e-05
1.768174,32834,1,4.999999999810711e-06
1.768178,66,-1,4.000000000115023e-06
1.768182,65549,1,3.999999999892978e-06
1.768184,11865,1,2.0000000000575113e-06
1.768187,66,-1,2.9999999999752447e-06
1.768194,78,-1,7.000000000090267e-06
1.7682,66,-1,5.999999999950489e-06
1.770824,66,-1,0.0026239999999999597
1.770831,66,1,7.000000000090267e-06
1.803226,96,0,0.03239499999999995
1.803234,96,0,8.000000000008e-06
1.803402,160,0,0.00016799999999994597
1.803432,208,0,2.999999999997449e-05
1.821083,74,1,0.017651000000000083
1.821089,74,-1,5.999999999950489e-06
1.821093,66,1,4.000000000115023e-06
1.822035,32834,-1,0.0009419999999999984
1.822044,66,1,8.999999999925734e-06
1.822052,32834,-1,8.000000000008e-06
1.822172,66,1,0.00011999999999989797
1.822179,32834,-1,7.000000000090267e-06
1.822181,32834,-1,2.0000000000575113e-06
1.822194,66,1,1.3000000000040757e-05
1.822198,32834,-1,3.999999999892978e-06
1.822201,32834,-1,2.9999999999752447e-06
1.82225,66,1,4.899999999996574e-05
1.822252,8685,-1,2.0000000000575113e-06
1.822254,66,1,2.0000000000575113e-06
2.768396,74,1,0.946142
2.768405,74,-1,8.999999999925734e-06
2.768411,66,1,5.999999999950489e-06
2.804976,32834,1,0.03656499999999996
2.804985,66,-1,8.999999999925734e-06
2.804994,32834,1,9.000000000369823e-06
2.805073,66,-1,7.899999999994023e-05
2.805137,32834,1,6.4000000000064e-05
2.805144,32834,1,6.999999999646178e-06
2.805206,66,-1,6.200000000022854e-05
2.805238,32834,1,3.2000000000032e-05
2.805241,66,-1,2.9999999999752447e-06
2.805245,32834,1,4.000000000115023e-06
2.805248,66,-1,2.9999999999752447e-06
2.805252,32834,1,3.9999999996709334e-06
2.805255,66,-1,2.9999999999752447e-06
2.805259,32834,1,4.000000000115023e-06
2.805262,66,-1,2.9999999999752447e-06
2.805265,32834,1,2.9999999999752447e-06
2.805268,66,-1,2.9999999999752447e-06
2.805272,32834,1,4.000000000115023e-06
2.805274,66,-1,1.9999999998354667e-06
2.805278,32834,1,4.000000000115023e-06
2.805281,66,-1,2.9999999999752447e-06
2.805285,32834,1,4.000000000115023e-06
2.805288,66,-1,2.9999999999752447e-06
2.805291,32834,1,2.9999999999752447e-06
2.805294,66,-1,2.9999999999752447e-06
2.805297,32834,1,2.9999999999752447e-06
2.8053,66,-1,2.9999999999752447e-06
2.805303,32834,1,2.9999999999752447e-06
2.805306,66,-1,2.9999999999752447e-06
2.805311,32834,1,5.000000000254801e-06
2.805314,66,-1,2.9999999999752447e-06
2.805317,32834,1,2.9999999999752447e-06
2.80532,66,-1,2.9999999999752447e-06
2.805324,32834,1,4.000000000115023e-06
2.80533,32834,1,5.999999999950489e-06
2.805336,32834,1,5.999999999950489e-06
2.805342,32834,1,5.999999999950489e-06
2.805348,32834,1,5.999999999950489e-06
2.805354,32834,1,5.999999999950489e-06
2.805361,32834,1,7.000000000090267e-06
2.805367,66,-1,5.999999999950489e-06
2.805368,32834,1,1.000000000139778e-06
2.805371,66,-1,2.9999999999752447e-06
2.805373,66,-1,1.9999999998354667e-06
2.805373,32834,1,0.0
2.805374,66,-1,1.000000000139778e-06
2.805375,66,-1,1.000000000139778e-06
2.805376,66,-1,9.999999996956888e-07
2.805378,66,-1,2.000000000279556e-06
2.805379,32834,1,9.999999996956888e-07
2.80538,66,-1,1.000000000139778e-06
2.805381,66,-1,1.000000000139778e-06
2.805385,32834,1,3.9999999996709334e-06
2.80539,32834,1,5.000000000254801e-06
2.805395,32834,1,4.999999999810711e-06
2.805399,32834,1,4.000000000115023e-06
2.805404,32834,1,4.999999999810711e-06
2.805407,66,-1,3.000000000419334e-06
2.805408,32834,1,9.999999996956888e-07
2.805408,66,-1,0.0
2.805412,32834,1,4.000000000115023e-06
2.805419,32834,1,7.000000000090267e-06
2.805428,66,-1,8.999999999925734e-06
2.80543,32834,1,1.9999999998354667e-06
2.805434,32834,1,4.000000000115023e-06
2.805479,11865,1,4.500000000007276e-05
2.805482,66,-1,2.9999999999752447e-06
2.805488,66,1,5.999999999950489e-06
2.807849,66,-1,0.0023610000000000575
2.807854,66,1,4.999999999810711e-06
2.891394,32834,-1,0.08354000000000017
2.891406,66,1,1.1999999999900979e-05
2.891415,32834,-1,8.999999999925734e-06
2.891512,66,1,9.700000000023579e-05
2.891519,32834,-1,7.000000000090267e-06
2.891522,32834,-1,2.9999999999752447e-06
2.89154,66,1,1.7999999999851468e-05
2.891546,32834,-1,5.999999999950489e-06
2.891549,32834,-1,2.9999999999752447e-06
