Time (s),Frame Length,Direction,Interarrival
0.0,68,0,0.0
3e-05,68,0,3e-05
4.970997,76,1,4.970967
4.971007,76,-1,1.0000000000509601e-05
4.971014,68,1,7.000000000090267e-06
4.979885,32836,-1,0.008871000000000073
4.979898,68,1,1.3000000000040757e-05
4.979909,32836,-1,1.09999999997612e-05
4.980015,68,1,0.00010599999999971743
4.980072,32836,-1,5.699999999997374e-05
4.980079,32836,-1,7.000000000090267e-06
4.980141,68,1,6.199999999978445e-05
4.98017,32836,-1,2.9000000000500847e-05
4.980174,68,1,3.9999999996709334e-06
4.980179,32836,-1,4.999999999810711e-06
4.980182,68,1,3.000000000419334e-06
4.980188,32836,-1,5.999999999950489e-06
4.980194,68,1,5.999999999950489e-06
4.980195,32836,-1,1.000000000139778e-06
4.9802,68,1,4.999999999810711e-06
4.980202,32836,-1,2.000000000279556e-06
4.980205,68,1,2.9999999995311555e-06
4.980208,32836,-1,3.000000000419334e-06
4.980212,68,1,3.9999999996709334e-06
4.980216,32836,-1,4.000000000559112e-06
4.98022,68,1,3.9999999996709334e-06
4.980224,32836,-1,3.9999999996709334e-06
4.980227,68,1,3.000000000419334e-06
4.980231,32836,-1,3.9999999996709334e-06
4.980235,68,1,4.000000000559112e-06
4.980239,32836,-1,3.9999999996709334e-06
4.980245,32836,-1,5.999999999950489e-06
4.980254,32836,-1,9.000000000369823e-06
4.980255,68,1,9.999999992515995e-07
4.980257,68,1,2.000000000279556e-06
4.980258,68,1,1.000000000139778e-06
4.980261,32836,-1,2.9999999995311555e-06
4.980268,32836,-1,7.000000000090267e-06
4.98027,68,1,2.000000000279556e-06
4.980274,68,1,3.9999999996709334e-06
4.980274,32836,-1,0.0
4.980279,68,1,5.00000000069889e-06
4.98028,32836,-1,9.999999992515995e-07
4.980284,68,1,4.000000000559112e-06
4.980286,32836,-1,2.000000000279556e-06
4.98029,68,1,3.9999999996709334e-06
4.980294,32836,-1,3.9999999996709334e-06
4.980298,68,1,4.000000000559112e-06
4.980302,32836,-1,3.9999999996709334e-06
4.980309,32836,-1,7.000000000090267e-06
4.980315,32836,-1,5.999999999950489e-06
4.980322,32836,-1,7.000000000090267e-06
4.980328,32836,-1,5.999999999950489e-06
4.980335,32836,-1,7.000000000090267e-06
4.980342,32836,-1,7.000000000090267e-06
4.980348,32836,-1,5.999999999950489e-06
4.980356,32836,-1,7.999999999341867e-06
4.980361,32836,-1,5.00000000069889e-06
4.980365,32836,-1,3.9999999996709334e-06
4.980369,32836,-1,3.9999999996709334e-06
4.98037,68,1,1.000000000139778e-06
4.980374,32836,-1,4.000000000559112e-06
4.980401,65551,-1,2.6999999999333113e-05
4.980475,68,1,7.400000000057361e-05
4.980555,65551,-1,7.999999999963592e-05
4.980558,68,1,3.000000000419334e-06
4.980563,65551,-1,4.999999999810711e-06
4.98057,65551,-1,7.000000000090267e-06
4.980577,65551,-1,7.000000000090267e-06
4.980624,65551,-1,4.699999999946414e-05
4.9807,65551,-1,7.599999999996498e-05
4.980725,65551,-1,2.4999999999941735e-05
4.9808,68,1,7.500000000071338e-05
4.980866,68,1,6.599999999945538e-05
4.980944,65551,-1,7.800000000024454e-05
4.980952,65551,-1,8.000000000230045e-06
4.98096,65551,-1,7.999999999341867e-06
4.980967,65551,-1,7.000000000090267e-06
4.980975,65551,-1,8.000000000230045e-06
4.980982,65551,-1,7.000000000090267e-06
4.98099,65551,-1,8.000000000230045e-06
4.980997,65551,-1,7.000000000090267e-06
4.981005,65551,-1,7.999999999341867e-06
4.981012,65551,-1,7.000000000090267e-06
4.981047,65551,-1,3.500000000045134e-05
4.981079,65551,-1,3.2000000000032e-05
4.981134,65551,-1,5.499999999969418e-05
4.981163,65551,-1,2.899999999961267e-05
4.981238,68,1,7.500000000071338e-05
5.938586,76,1,0.9573479999999996
5.938595,76,-1,9.000000000369823e-06
5.938602,68,1,7.000000000090267e-06
6.700078,91,0,0.761476
6.700113,91,0,3.499999999956316e-05
6.700217,102,0,0.00010400000000032605
6.700258,102,0,4.099999999951365e-05
6.704868,118,0,0.004610000000000447
6.704957,107,0,8.900000000000574e-05
6.711284,102,0,0.0063269999999997495
6.71138,91,0,9.600000000009601e-05
6.711573,76,0,0.00019299999999944362
6.715808,76,0,0.004235000000000433
6.7159,76,0,9.200000000042508e-05
6.715915,56,0,1.4999999999432134e-05
6.720491,76,0,0.0045760000000001355
6.720518,68,0,2.700000000022129e-05
6.720947,1871,0,0.0004289999999995686
6.725777,68,0,0.004830000000000112
6.725777,68,0,0.0
6.731334,5828,0,0.005557000000000478
6.731354,68,0,1.9999999999242846e-05
6.736107,81,0,0.004753000000000007
6.736159,81,0,5.200000000016303e-05
6.736245,92,0,8.600000000047459e-05
6.736285,92,0,3.999999999937387e-05
6.738768,108,0,0.002483000000000679
6.73886,97,0,9.19999999995369e-05
6.740243,142,0,0.0013830000000005782
6.740475,160,0,0.0002319999999995659
6.740957,433,0,0.0004819999999998714
6.744576,1056,0,0.003619000000000483
6.744702,99,0,0.00012599999999984846
6.745255,1294,0,0.0005530000000000257
6.745281,1294,0,2.6000000000081513e-05
6.745365,99,0,8.399999999930685e-05
6.745374,92,0,9.000000000369823e-06
6.745484,81,0,0.00011000000000027654
6.745491,109,0,7.000000000090267e-06
6.745605,80,0,0.00011399999999994748
6.745632,80,0,2.6999999999333113e-05
6.745666,91,0,3.400000000031156e-05
6.745691,91,0,2.4999999999941735e-05
6.748599,68,0,0.0029079999999996886
6.748607,267,0,8.000000000230045e-06
6.748744,256,0,0.00013700000000049783
6.750211,84,0,0.001466999999999885
6.751155,1294,0,0.0009439999999996118
6.751155,1294,0,0.0
6.751155,1294,0,0.0
6.751429,1294,0,0.0002740000000001075
6.752444,1294,0,0.001014999999999766
6.752444,1294,0,0.0
6.752444,1294,0,0.0
6.752528,83,0,8.400000000019503e-05
6.754017,84,0,0.0014890000000002956
6.756445,1294,0,0.0024280000000000967
6.756458,1294,0,1.3000000000040757e-05
6.756496,81,0,3.799999999998249e-05
6.758355,885,0,0.001858999999999611
6.758367,91,0,1.1999999999900979e-05
6.758458,80,0,9.10000000002853e-05
6.758467,108,0,8.999999999481645e-06
6.758724,76,0,0.0002570000000003958
6.759806,84,0,0.0010820000000002494
6.760506,892,0,0.000700000000000145
6.76057,85,0,6.4000000000064e-05
6.761791,84,0,0.0012209999999992505
6.761885,77,0,9.400000000070463e-05
6.761906,77,0,2.0999999999382624e-05
6.76199,88,0,8.400000000019503e-05
6.76202,88,0,2.9999999999752447e-05
6.76273,1294,0,0.0007100000000006546
6.76273,1294,0,0.0
6.76273,1294,0,0.0
6.763061,1294,0,0.00033100000000008123
6.763143,76,0,8.199999999991547e-05
6.763167,68,0,2.3999999999801958e-05
6.763443,1893,0,0.00027599999999949887
6.764112,1294,0,0.0006690000000002527
6.764112,1294,0,0.0
6.764112,1294,0,0.0
6.764207,83,0,9.499999999995623e-05
6.76536,104,0,0.0011530000000004037
6.765371,84,0,1.09999999997612e-05
6.765459,93,0,8.799999999986596e-05
6.767109,206,0,0.0016499999999997073
6.768366,84,0,0.0012570000000007298
6.768377,80,0,1.09999999997612e-05
6.768377,68,0,0.0
6.76846,76,0,8.300000000005525e-05
6.769936,5456,0,0.0014760000000002549
6.769936,501,0,0.0
6.769936,99,0,0.0
6.769949,68,0,1.3000000000040757e-05
6.770194,68,0,0.00024499999999960664
6.770326,107,0,0.00013199999999979894
6.770953,88,0,0.0006270000000005993
6.770964,107,0,1.09999999997612e-05
6.771045,77,0,8.09999999997757e-05
6.771229,127,0,0.00018399999999996197
6.771332,118,0,0.00010300000000018628
6.771631,127,0,0.0002990000000000492
6.771673,116,0,4.1999999999653426e-05
6.771891,621,0,0.00021800000000027353
6.771932,398,0,4.099999999951365e-05
6.771975,76,0,4.300000000068138e-05
6.772014,78,0,3.900000000012227e-05
6.772085,1290,0,7.09999999992661e-05
6.772089,1294,0,4.000000000559112e-06
6.772101,680,0,1.1999999999900979e-05
6.772104,118,0,2.9999999995311555e-06
6.772991,76,0,0.0008870000000005263
6.773006,68,0,1.4999999999432134e-05
6.773206,1892,0,0.00020000000000042206
6.775184,997,0,0.0019780000000002573
6.775184,165,0,0.0
6.775293,77,0,0.00010899999999924859
6.775317,77,0,2.4000000000690136e-05
6.775621,67,0,0.00030399999999985994
6.775621,67,0,0.0
6.775629,994,0,8.000000000230045e-06
6.775629,165,0,0.0
6.775726,75,0,9.699999999934761e-05
6.776267,71,0,0.0005410000000001247
6.777038,76,0,0.0007710000000002992
6.77706,68,0,2.19999999995224e-05
6.777258,1825,0,0.0001980000000001425
6.778305,68,0,0.001046999999999798
6.778379,76,0,7.400000000057361e-05
6.7784,68,0,2.1000000000270802e-05
6.778828,68,0,0.00042799999999942884
6.778869,68,0,4.1000000000401826e-05
6.77962,68,0,0.0007510000000001682
6.779622,68,0,1.9999999993913775e-06
6.779622,68,0,0.0
6.780714,90,0,0.0010919999999998709
6.780759,90,0,4.500000000007276e-05
6.780823,101,0,6.4000000000064e-05
6.780861,101,0,3.799999999998249e-05
6.781848,5817,0,0.0009870000000002932
6.781863,56,0,1.5000000000320313e-05
6.782476,76,0,0.0006129999999995306
6.782479,80,0,3.000000000419334e-06
6.782489,68,0,9.999999999621423e-06
6.782493,1468,0,3.9999999996709334e-06
6.782788,1793,0,0.0002950000000003783
6.783156,68,0,0.00036799999999992394
6.78316,68,0,3.9999999996709334e-06
6.78316,68,0,0.0
6.783163,56,0,3.000000000419334e-06
6.783169,68,0,5.999999999950489e-06
6.783179,68,0,9.999999999621423e-06
6.786813,80,0,0.0036340000000008033
6.786831,425,0,1.7999999999851468e-05
6.787206,80,0,0.0003750000000000142
6.787206,68,0,0.0
6.788712,4268,0,0.0015060000000000073
6.788726,68,0,1.3999999999292356e-05
6.789369,1254,0,0.0006430000000001712
6.789374,68,0,4.999999999810711e-06
6.790065,101,0,0.0006910000000006633
6.790159,90,0,9.399999999981645e-05
6.79136,68,0,0.0012010000000000076
6.792126,1468,0,0.0007659999999996003
6.792126,68,0,0.0
6.792126,4054,0,0.0
6.792137,56,0,1.100000000064938e-05
6.792148,56,0,1.09999999997612e-05
6.792149,56,0,1.000000000139778e-06
6.794919,142,0,0.002769999999999939
6.795081,160,0,0.0001619999999995514
6.795721,344,0,0.0006400000000006401
6.797299,229,0,0.0015779999999994132
6.797413,218,0,0.00011399999999994748
6.797627,76,0,0.0002140000000006026
6.799617,1028,0,0.00198999999999927
6.799617,68,0,0.0
6.799617,99,0,0.0
6.799673,68,0,5.600000000072214e-05
6.799735,99,0,6.199999999978445e-05
6.800312,72,0,0.0005769999999998277
6.801509,599,0,0.0011970000000003367
6.801509,1468,0,0.0
6.801509,1004,0,0.0
6.801509,107,0,0.0
6.80151,72,0,1.000000000139778e-06
6.801514,76,0,3.9999999996709334e-06
6.801547,68,0,3.300000000017178e-05
6.802162,76,0,0.0006149999999998101
6.802181,68,0,1.8999999999991246e-05
6.802225,107,0,4.399999999993298e-05
6.802407,1902,0,0.00018199999999968242
6.805864,68,0,0.0034570000000000434
6.80747,68,0,0.0016060000000006625
6.808156,76,0,0.0006859999999999644
6.808188,76,0,3.2000000000032e-05
6.808269,87,0,8.09999999997757e-05
6.808316,87,0,4.699999999946414e-05
6.808409,2964,0,9.300000000056485e-05
6.808421,68,0,1.1999999999900979e-05
6.808445,1290,0,2.3999999999801958e-05
6.808445,1165,0,0.0
6.808445,78,0,0.0
6.808539,75,0,9.399999999981645e-05
6.808646,79,0,0.00010700000000074539
6.809076,3208,0,0.0004299999999997084
6.809083,68,0,7.000000000090267e-06
6.810864,183,0,0.0017809999999993664
6.810947,172,0,8.300000000005525e-05
6.812662,726,0,0.0017150000000007992
6.812662,177,0,0.0
6.812824,79,0,0.0001619999999995514
6.816418,493,0,0.003593999999999653
6.816418,237,0,0.0
6.817332,79,0,0.0009140000000007475
6.817381,87,0,4.899999999974369e-05
6.817459,76,0,7.800000000024454e-05
6.817468,104,0,8.999999999481645e-06
6.817843,1294,0,0.0003750000000000142
6.817862,1294,0,1.8999999999991246e-05
6.818164,94,0,0.00030200000000046856
6.818189,94,0,2.4999999999941735e-05
6.818231,105,0,4.1999999999653426e-05
6.818263,105,0,3.2000000000032e-05
6.819185,194,0,0.0009220000000000894
6.819492,167,0,0.00030700000000027927
6.819567,416,0,7.49999999998252e-05
6.819602,3122,0,3.499999999956316e-05
6.821225,67,0,0.0016230000000003741
6.822946,85,0,0.0017209999999998615
6.822976,85,0,2.9999999999752447e-05
6.823031,96,0,5.500000000058236e-05
6.823049,84,0,1.7999999999851468e-05
6.823056,68,0,7.000000000090267e-06
6.823056,272,0,0.0
6.823056,146,0,0.0
6.823065,96,0,8.999999999481645e-06
6.823125,68,0,6.000000000039307e-05
6.823184,106,0,5.9000000000253294e-05
6.824136,1294,0,0.0009519999999998419
6.824136,1294,0,0.0
6.824136,1294,0,0.0
6.82414,68,0,3.9999999996709334e-06
6.82414,68,0,0.0
6.82414,436,0,0.0
6.824337,1294,0,0.00019700000000000273
6.824576,1294,0,0.00023900000000054433
6.824576,1294,0,0.0
6.824576,1294,0,0.0
6.824578,435,0,1.9999999993913775e-06
6.824608,83,0,2.9999999999752447e-05
6.824623,68,0,1.5000000000320313e-05
6.825828,272,0,0.0012049999999996786
6.825888,84,0,6.000000000039307e-05
6.825955,261,0,6.700000000048334e-05
6.82721,105,0,0.001254999999999562
6.82726,94,0,4.999999999988347e-05
6.828446,81,0,0.0011859999999996873
6.828725,906,0,0.0002790000000008064
6.829919,76,0,0.0011939999999999173
6.829959,84,0,3.999999999937387e-05
6.83053,297,0,0.0005710000000007653
6.830671,286,0,0.0001409999999992806
6.831039,1294,0,0.00036799999999992394
6.831055,1294,0,1.600000000046009e-05
6.832294,96,0,0.0012389999999999901
6.832377,85,0,8.300000000005525e-05
6.832698,913,0,0.00032099999999957163
6.8331,1294,0,0.0004020000000002355
6.833116,1294,0,1.600000000046009e-05
6.833313,127,0,0.00019700000000000273
6.833361,112,0,4.7999999999603915e-05
6.833473,209,0,0.00011199999999966792
6.833589,1290,0,0.00011600000000022703
6.833593,1038,0,3.9999999996709334e-06
6.834292,76,0,0.0006990000000000052
6.834311,68,0,1.8999999999991246e-05
6.834512,1856,0,0.00020100000000056184
6.835637,84,0,0.0011250000000000426
6.836433,1294,0,0.000796000000000241
6.836433,1294,0,0.0
6.836433,1294,0,0.0
6.83664,1294,0,0.00020699999999962415
6.837417,1045,0,0.0007770000000002497
6.837417,165,0,0.0
6.83742,1294,0,2.9999999995311555e-06
6.837421,214,0,1.000000000139778e-06
6.83742,1294,0,-1.000000000139778e-06
6.837421,68,0,1.000000000139778e-06
6.83742,1294,0,-1.000000000139778e-06
6.837477,78,0,5.699999999997374e-05
6.837501,77,0,2.3999999999801958e-05
6.83754,83,0,3.900000000012227e-05
6.838982,69,0,0.0014419999999999433
6.838982,69,0,0.0
6.838985,84,0,3.000000000419334e-06
6.838994,66,0,8.999999999481645e-06
6.839116,76,0,0.00012200000000017752
6.83918,77,0,6.4000000000064e-05
6.8392,84,0,2.0000000000131024e-05
6.83976,73,0,0.000560000000000116
6.839762,80,0,2.000000000279556e-06
6.839762,68,0,0.0
6.839767,1294,0,4.999999999810711e-06
6.839767,1294,0,0.0
6.839767,1294,0,0.0
6.839963,1294,0,0.00019599999999986295
6.840531,1294,0,0.000568000000000346
6.840531,1294,0,0.0
6.840531,1294,0,0.0
6.840532,222,0,9.999999992515995e-07
6.840565,83,0,3.300000000017178e-05
6.840694,84,0,0.0001290000000002678
6.841485,5447,0,0.0007909999999995421
6.841494,68,0,9.000000000369823e-06
6.841671,84,0,0.0001769999999998717
6.841867,127,0,0.00019599999999986295
6.841927,112,0,6.000000000039307e-05
6.842102,643,0,0.00017499999999959215
6.842687,142,0,0.0005850000000000577
6.84274,76,0,5.3000000000302805e-05
6.843674,76,0,0.0009339999999999904
6.843695,68,0,2.1000000000270802e-05
6.843894,1842,0,0.0001989999999993941
6.845082,85,0,0.0011879999999999669
6.845082,214,0,0.0
6.845949,1022,0,0.0008670000000003952
6.845949,165,0,0.0
6.846024,78,0,7.49999999998252e-05
6.846054,77,0,2.9999999999752447e-05
6.846078,85,0,2.4000000000690136e-05
6.846368,127,0,0.0002899999999996794
6.846376,71,0,8.000000000230045e-06
6.846417,111,0,4.099999999951365e-05
6.846518,77,0,0.00010099999999990672
6.846613,677,0,9.499999999995623e-05
6.848846,80,0,0.0022330000000003736
6.848847,68,0,1.000000000139778e-06
6.849986,85,0,0.0011390000000002232
6.849987,1004,0,9.999999992515995e-07
6.849987,165,0,0.0
6.850122,78,0,0.00013500000000021828
6.850148,77,0,2.6000000000081513e-05
6.851257,71,0,0.0011090000000004707
6.85128,5830,0,2.299999999966218e-05
6.85128,68,0,0.0
6.851294,68,0,1.4000000000180535e-05
6.851325,77,0,3.0999999999892225e-05
6.851612,142,0,0.00028700000000014825
6.855449,1062,0,0.0038369999999998683
6.861774,83,0,0.00632499999999947
6.861802,83,0,2.800000000036107e-05
6.86192,94,0,0.00011799999999961841
6.861997,94,0,7.700000000010476e-05
6.864686,110,0,0.0026890000000001635
6.864809,99,0,0.0001230000000003173
6.864894,76,0,8.499999999944663e-05
6.866396,176,0,0.0015020000000003364
6.866414,521,0,1.7999999999851468e-05
6.866712,603,0,0.00029799999999990945
6.866801,92,0,8.900000000000574e-05
6.866821,92,0,2.0000000000131024e-05
6.86689,103,0,6.899999999987472e-05
6.866936,103,0,4.600000000021254e-05
6.867712,235,0,0.0007760000000001099
6.868414,68,0,0.0007019999999995363
6.869942,68,0,0.001528000000000418
6.870339,68,0,0.0003970000000004248
6.870756,435,0,0.00041699999999966764
6.870761,94,0,4.999999999810711e-06
6.870845,83,0,8.400000000019503e-05
6.871156,435,0,0.0003109999999999502
6.871214,1294,0,5.8000000000113516e-05
6.87123,1294,0,1.5999999999571912e-05
6.871265,68,0,3.500000000045134e-05
6.875879,103,0,0.004614000000000118
6.875982,92,0,0.0001029999999992981
6.877468,84,0,0.0014860000000007645
6.877468,1294,0,0.0
6.877468,1294,0,0.0
6.877468,1294,0,0.0
6.877719,1294,0,0.00025099999999955713
6.878722,1294,0,0.0010029999999998651
6.878722,1294,0,0.0
6.878723,1294,0,1.000000000139778e-06
6.878799,83,0,7.599999999996498e-05
6.880001,76,0,0.0012020000000001474
6.880033,84,0,3.2000000000032e-05
6.881265,210,0,0.0012319999999998998
6.881424,199,0,0.00015900000000002024
6.881574,76,0,0.0001499999999996504
6.882282,227,0,0.000708000000000375
6.883595,133,0,0.0013129999999996755
6.883661,115,0,6.600000000034356e-05
6.883847,1290,0,0.00018600000000024153
6.883852,190,0,4.999999999810711e-06
6.884573,76,0,0.0007209999999995276
6.88459,68,0,1.700000000059987e-05
6.884766,1895,0,0.00017599999999973193
6.885615,1294,0,0.0008489999999996556
6.885626,1294,0,1.100000000064938e-05
6.885634,1294,0,7.999999999341867e-06
6.88571,76,0,7.600000000085316e-05
6.885732,68,0,2.19999999995224e-05
6.885886,1840,0,0.00015400000000020952
6.888264,1000,0,0.0023780000000002133
6.888264,165,0,0.0
6.888354,75,0,8.999999999925734e-05
6.888671,71,0,0.0003170000000007889
6.8887,1290,0,2.899999999961267e-05
6.8887,729,0,0.0
6.888833,79,0,0.00013299999999993872
6.889644,80,0,0.0008109999999996731
6.889644,68,0,0.0
6.890544,84,0,0.000900000000000567
6.890544,84,0,0.0
6.890544,1294,0,0.0
6.890555,68,0,1.09999999997612e-05
6.890685,1294,0,0.00013000000000040757
6.891581,125,0,0.0008960000000000079
6.891697,1294,0,0.00011599999999933885
6.8917,4268,0,3.000000000419334e-06
6.891708,68,0,8.000000000230045e-06
6.892417,1620,0,0.0007089999999996266
6.89242,4352,0,3.000000000419334e-06
6.892421,340,0,9.999999992515995e-07
6.892421,994,0,0.0
6.892422,68,0,1.000000000139778e-06
6.892429,68,0,7.000000000090267e-06
6.892598,122,0,0.00016899999999964166
6.892652,75,0,5.400000000044258e-05
6.893039,142,0,0.0003869999999999152
6.893157,638,0,0.00011800000000050659
6.893159,68,0,1.9999999993913775e-06
6.893167,74,0,8.000000000230045e-06
6.893167,165,0,0.0
6.893191,610,0,2.3999999999801958e-05
6.893323,75,0,0.00013199999999979894
6.894517,460,0,0.0011939999999999173
6.894517,266,0,0.0
6.894519,251,0,2.000000000279556e-06
6.894519,298,0,0.0
6.895689,68,0,0.0011700000000001154
6.897178,171,0,0.0014890000000002956
6.897193,1040,0,1.4999999999432134e-05
6.898111,73,0,0.0009180000000004185
6.901939,79,0,0.0038279999999994985
6.901997,81,0,5.8000000000113516e-05
6.90206,76,0,6.299999999992423e-05
6.903736,700,0,0.001676000000000677
6.903736,281,0,0.0
6.903736,304,0,0.0
6.903827,79,0,9.099999999939712e-05
6.903854,75,0,2.700000000022129e-05
6.920407,1112,0,0.01655300000000004
6.920758,81,0,0.00035100000000021225
6.920855,235,0,9.700000000023579e-05
6.921529,132,0,0.0006739999999991753
6.921617,160,0,8.800000000075414e-05
6.922087,1419,0,0.00046999999999997044
6.9224,100,0,0.0003129999999993416
6.925033,68,0,0.0026330000000003295
6.925033,247,0,0.0
6.925033,130,0,0.0
6.925071,68,0,3.799999999998249e-05
6.925123,99,0,5.200000000016303e-05
