Time (s),Frame Length,Direction,Interarrival
0.0,81,0,0.0
7.4e-05,81,0,7.4e-05
0.000511,251,0,0.00043699999999999994
0.000852,104,0,0.00034100000000000005
0.006061,68,0,0.005209
0.006237,76,0,0.00017599999999999994
0.010604,76,0,0.004367
0.010645,68,0,4.099999999999937e-05
0.011209,104,0,0.0005640000000000003
0.011418,235,0,0.00020899999999999912
0.011421,1829,0,3.0000000000012655e-06
0.011436,263,0,1.4999999999999389e-05
0.016193,68,0,0.004756999999999999
0.016602,167,0,0.00040899999999999964
0.01662,68,0,1.8000000000000654e-05
0.016959,643,0,0.000338999999999999
0.026018,4164,0,0.009059000000000001
0.026018,2969,0,0.0
0.026186,68,0,0.00016800000000000148
0.026909,142,0,0.000722999999999998
0.0271,160,0,0.0001910000000000002
0.027627,333,0,0.0005269999999999997
0.030601,68,0,0.002974000000000001
0.030601,355,0,0.0
0.030601,355,0,0.0
0.030748,68,0,0.0001470000000000013
0.031669,139,0,0.0009210000000000017
0.0319,99,0,0.0002309999999999951
0.039636,9854,0,0.007736
0.039804,68,0,0.00016800000000000148
0.040873,6688,0,0.0010690000000000005
0.041019,68,0,0.0001460000000000003
0.041604,5660,0,0.0005850000000000022
0.042601,68,0,0.0009969999999999979
0.043247,14048,0,0.0006460000000000007
0.043397,68,0,0.00014999999999999736
0.04469,14827,0,0.0012930000000000025
0.044955,68,0,0.00026500000000000135
0.217638,68,0,0.172683
0.429635,68,0,0.211997
0.861637,68,0,0.432002
1.725552,68,0,0.863915
1.744502,68,0,0.018950000000000022
1.744517,68,0,1.5000000000098268e-05
1.981551,68,0,0.23703399999999997
1.98849,68,0,0.0069390000000000285
3.209552,76,1,1.2210619999999999
3.209561,76,-1,8.999999999925734e-06
3.209568,68,1,7.000000000090267e-06
3.213639,32836,-1,0.004071000000000158
3.213644,68,1,4.999999999810711e-06
3.213653,32836,-1,8.999999999925734e-06
3.213752,68,1,9.900000000007125e-05
3.213804,32836,-1,5.200000000016303e-05
3.213811,32836,-1,7.000000000090267e-06
3.213866,68,1,5.499999999969418e-05
3.213899,32836,-1,3.300000000017178e-05
3.213905,32836,-1,5.999999999950489e-06
3.213994,68,1,8.900000000000574e-05
3.214006,32836,-1,1.1999999999900979e-05
3.21401,32836,-1,4.000000000115023e-06
3.214022,68,1,1.1999999999900979e-05
3.214027,32836,-1,5.000000000254801e-06
3.214031,32836,-1,3.9999999996709334e-06
3.214034,32836,-1,2.9999999999752447e-06
3.214037,32836,-1,2.9999999999752447e-06
3.214049,68,1,1.2000000000345068e-05
3.214053,32836,-1,3.9999999996709334e-06
3.214057,32836,-1,4.000000000115023e-06
3.21406,32836,-1,2.9999999999752447e-06
3.214063,32836,-1,2.9999999999752447e-06
3.214067,32836,-1,4.000000000115023e-06
3.214081,68,1,1.4000000000180535e-05
3.214084,32836,-1,2.9999999999752447e-06
3.214087,32836,-1,2.9999999999752447e-06
3.21409,32836,-1,2.9999999999752447e-06
3.214098,68,1,7.999999999785956e-06
3.214102,32836,-1,4.000000000115023e-06
3.214105,32836,-1,2.9999999999752447e-06
3.214111,68,1,5.999999999950489e-06
3.214114,32836,-1,2.9999999999752447e-06
3.214117,32836,-1,2.9999999999752447e-06
3.214123,68,1,5.999999999950489e-06
3.214126,32836,-1,2.9999999999752447e-06
3.21413,32836,-1,4.000000000115023e-06
3.214135,68,1,5.000000000254801e-06
3.214139,32836,-1,3.9999999996709334e-06
3.214142,32836,-1,2.9999999999752447e-06
3.214147,68,1,5.000000000254801e-06
3.214151,32836,-1,4.000000000115023e-06
3.214153,32836,-1,1.9999999998354667e-06
3.214158,68,1,4.999999999810711e-06
3.214161,32836,-1,2.9999999999752447e-06
3.214164,32836,-1,2.9999999999752447e-06
3.214168,68,1,4.000000000115023e-06
3.214171,32836,-1,2.9999999999752447e-06
3.214173,32836,-1,2.000000000279556e-06
3.214177,68,1,3.9999999996709334e-06
3.21418,32836,-1,2.9999999999752447e-06
3.214183,68,1,2.9999999999752447e-06
3.214186,32836,-1,3.000000000419334e-06
3.214189,68,1,2.9999999999752447e-06
3.214192,32836,-1,2.9999999999752447e-06
3.214194,68,1,1.9999999998354667e-06
3.214197,32836,-1,2.9999999999752447e-06
3.2142,68,1,2.9999999999752447e-06
3.214202,32836,-1,1.9999999998354667e-06
3.214205,68,1,3.000000000419334e-06
3.214208,32836,-1,2.9999999999752447e-06
3.214211,68,1,2.9999999999752447e-06
3.214213,32836,-1,1.9999999998354667e-06
3.214331,68,1,0.0001180000000000625
3.214338,32836,-1,7.000000000090267e-06
3.214341,32836,-1,2.9999999999752447e-06
3.214344,32836,-1,2.9999999999752447e-06
3.214346,32836,-1,1.9999999998354667e-06
3.214348,32836,-1,2.000000000279556e-06
3.214351,32836,-1,2.9999999999752447e-06
3.214353,32836,-1,1.9999999998354667e-06
3.214355,32836,-1,1.9999999998354667e-06
3.214357,32836,-1,2.000000000279556e-06
3.214359,32836,-1,1.9999999998354667e-06
3.214374,68,1,1.4999999999876223e-05
3.214376,68,1,2.000000000279556e-06
3.214377,68,1,9.999999996956888e-07
3.214378,68,1,1.000000000139778e-06
3.21438,68,1,1.9999999998354667e-06
3.214511,68,1,0.00013100000000010326
3.214515,22583,-1,4.000000000115023e-06
3.214517,68,1,1.9999999998354667e-06
3.421553,68,0,0.207036
4.033545,76,1,0.6119920000000003
