Time (s),Frame Length,Direction,Interarrival
0.0,122,0,0.0
0.046548,68,0,0.046548
0.052687,102,0,0.006138999999999999
0.052726,68,0,3.900000000000431e-05
1.283985,630,0,1.2312589999999999
1.289472,68,0,0.00548700000000002
1.490116,85,0,0.20064400000000004
1.495363,68,0,0.005247000000000002
1.508013,1244,0,0.01265000000000005
1.508014,230,0,9.999999999177334e-07
1.509289,89,0,0.0012750000000001371
1.511205,1244,0,0.0019159999999998067
1.511205,1244,0,0.0
1.511205,1244,0,0.0
1.511205,643,0,0.0
1.512737,89,0,0.0015320000000000888
1.513019,1244,0,0.00028199999999989345
1.513019,1244,0,0.0
1.513019,1244,0,0.0
1.513019,1244,0,0.0
1.513019,1244,0,0.0
1.51302,1244,0,1.000000000139778e-06
1.51302,1208,0,0.0
1.51302,1244,0,0.0
1.513064,1244,0,4.399999999993298e-05
1.513064,1244,0,0.0
1.513064,1244,0,0.0
1.513065,1244,0,1.000000000139778e-06
1.513065,1244,0,0.0
1.513065,1244,0,0.0
1.513065,1244,0,0.0
1.513065,1029,0,0.0
1.513085,73,0,1.999999999990898e-05
1.513419,88,0,0.0003340000000000565
1.51469,89,0,0.0012710000000000221
1.731706,619,0,0.21701599999999988
1.736979,68,0,0.005273000000000083
1.75,891,0,0.01302099999999995
1.751509,89,0,0.0015089999999999826
1.775083,84,0,0.023573999999999984
1.842531,632,0,0.06744799999999995
1.846138,68,0,0.003607000000000138
1.867839,1244,0,0.02170099999999997
1.867839,398,0,0.0
1.867839,1244,0,0.0
1.867839,1244,0,0.0
1.867839,1244,0,0.0
1.867839,1244,0,0.0
1.86784,1244,0,9.999999999177334e-07
1.86784,71,0,0.0
1.867882,1244,0,4.2000000000097515e-05
1.867882,1244,0,0.0
1.867883,1244,0,9.999999999177334e-07
1.867883,643,0,0.0
1.868327,88,0,0.00044400000000011097
1.872395,89,0,0.0040679999999999605
1.94039,636,0,0.06799500000000003
1.944329,71,0,0.003938999999999915
1.945081,891,0,0.0007520000000000859
1.945561,88,0,0.00048000000000003595
1.952554,1244,0,0.006992999999999805
1.952554,1244,0,0.0
1.952554,1244,0,0.0
1.952554,1244,0,0.0
1.952555,1244,0,1.000000000139778e-06
1.952555,1244,0,0.0
1.952555,1208,0,0.0
1.952555,1244,0,0.0
1.952594,1124,0,3.8999999999900226e-05
1.953738,1244,0,0.0011440000000000339
1.953739,1244,0,9.999999999177334e-07
1.953739,1244,0,0.0
1.953739,1244,0,0.0
1.953739,1244,0,0.0
1.953739,1244,0,0.0
1.953739,1244,0,0.0
1.953739,1176,0,0.0
1.953772,73,0,3.300000000017178e-05
1.953855,88,0,8.299999999983321e-05
1.954974,89,0,0.0011190000000000921
2.145322,85,0,0.19034800000000018
2.149149,1244,0,0.0038269999999998028
2.149149,384,0,0.0
2.149149,1244,0,0.0
2.149149,1244,0,0.0
2.149149,1244,0,0.0
2.149149,643,0,0.0
2.149149,1244,0,0.0
2.149149,1244,0,0.0
2.149199,1244,0,4.999999999988347e-05
2.149199,1244,0,0.0
2.149199,1244,0,0.0
2.149199,1244,0,0.0
2.149199,1244,0,0.0
2.149199,1244,0,0.0
2.149199,1244,0,0.0
2.149199,1244,0,0.0
2.149233,1244,0,3.400000000031156e-05
2.149233,1244,0,0.0
